Scenario,Tool,Tasks,Phase,Iteration,Sample,Duration,Count
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,30,total execution time,847.99,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,30,garbage collection time,8.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,30,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,31,total execution time,850.43,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,31,garbage collection time,27.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,31,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,32,total execution time,807.66,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,32,garbage collection time,23.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,32,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,33,total execution time,848.27,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,33,garbage collection time,23.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,33,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,34,total execution time,786.22,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,34,garbage collection time,10.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,34,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,35,total execution time,890.48,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,35,garbage collection time,7.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,35,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,36,total execution time,794.70,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,36,garbage collection time,27.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,36,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,37,total execution time,770.61,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,37,garbage collection time,23.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,37,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,38,total execution time,802.73,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,38,garbage collection time,16.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,38,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,39,total execution time,799.63,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,39,garbage collection time,14.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,39,local cache size,0.00,1
